Year,Month,Max_temperature,Min_temperature,Precipitation
1853,1,8.4,2.7,4
1853,2,3.2,-1.8,19
1853,3,7.7,-0.6,20
1853,4,12.6,4.5,0
1853,5,16.8,6.1,0
1853,6,20.1,10.7,0
1853,7,21.2,12.2,0
1853,8,20.2,10.8,0
1853,9,17.3,8.4,0
1853,10,13.9,7.4,0
1853,11,8.7,2.3,10
1853,12,3.7,-1.3,19
1854,1,6.7,1.5,11
1854,2,8,0.6,12
1854,3,11.2,2.2,8
1854,4,15,3.5,2
1854,5,16.2,5.7,1
1854,6,18.6,9.7,0
1854,7,21.7,11.6,0
1854,8,20.9,10.7,0
1854,9,20.2,8.4,0
1854,10,13.9,5.6,2
1854,11,8.2,2,5
1854,12,8.3,2.1,8
1855,1,4.4,-0.4,18
1855,2,1.7,-4.5,20
1855,3,7.7,0.1,15
1855,4,13,2.7,9
1855,5,15,4.9,3
1855,6,19.4,9.3,0
1855,7,22.8,13.4,0
1855,8,21.7,12.2,0
1855,9,19,10.4,0
1855,10,14,8.2,0
1855,11,7.9,3.4,4
1855,12,5.7,-0.1,13
1856,1,6.8,2,10
1856,2,8.2,3,8
1856,3,7.9,0.6,11
1856,4,12.9,4.1,2
1856,5,14,5.7,2
1856,6,20.2,9.5,0
1856,7,22.2,11.3,0
1856,8,22.7,12.5,0
1856,9,16.8,8.5,0
1856,10,13.9,6.9,1
1856,11,8.1,2.3,8
1856,12,7.3,1.4,12
1857,1,5.1,-0.6,17
1857,2,7.6,0.4,11
1857,3,9.1,1.8,10
1857,4,11.9,3.7,3
1857,5,16.5,6.3,4
1857,6,22,10.6,0
1857,7,22,12.7,0
1857,8,22.8,13.2,0
1857,9,19,11.2,0
1857,10,14.6,7.8,0
1857,11,10.2,4.5,2
1857,12,9.6,4.5,3
1858,1,6.4,-0.1,20
1858,2,4.7,-1.2,18
1858,3,9.4,1.1,12
1858,4,13.1,4,2
1858,5,15.9,6.2,0
1858,6,23.6,11.9,0
1858,7,20.8,10.6,0
1858,8,21.4,11.3,0
1858,9,19.5,11.2,0
1858,10,13.4,6.9,0
1858,11,7.4,0.8,12
1858,12,7.2,2.4,2
1859,1,7.5,1.8,9
1859,2,9.4,2.7,5
1859,3,11.2,4.7,4
1859,4,12.3,3.5,8
1859,5,16.6,6.7,0
1859,6,20.7,11.1,0
1859,7,25.1,13.7,0
1859,8,21.8,12.5,0
1859,9,17.4,9.4,0
1859,10,13.7,6.6,6
1859,11,8.5,1.5,8
1859,12,5,-1.1,14
1860,1,6.8,0.8,12
1860,2,5.2,-1.6,20
1860,3,8.4,1.9,8
1860,4,10.6,1.7,5
1860,5,17,7.7,0
1860,6,17,9.5,0
1860,7,19.3,10.3,0
1860,8,17.9,10.9,0
1860,9,15.6,7,0
1860,10,13.4,7.3,1
1860,11,7.4,2.1,2
1860,12,4.4,,
1861,1,3.8,-0.7,16
1861,2,7.9,3.1,4
1861,3,10.1,3.4,1
1861,4,11.8,3,5
1861,5,16.1,6.5,1
1861,6,20,11.2,0
1861,7,19.7,12,0
1861,8,21.6,12.7,0
1861,9,17.9,9.9,0
1861,10,16.2,9.5,0
1861,11,8.4,1.6,10
1861,12,7,1.5,12
1862,1,6.6,2.2,8
1862,2,7.3,3.4,4
1862,3,9.4,3.9,4
1862,4,12.9,6.2,4
1862,5,17.6,9.2,0
1862,6,18.1,9.6,0
1862,7,19.9,10.6,0
1862,8,20,10.5,0
1862,9,18.2,9.9,0
1862,10,14.5,7.6,1
1862,11,6.7,0.4,14
1862,12,9.2,3.8,0
1863,1,7.7,2.5,2
1863,2,9.1,2.7,7
1863,3,10.8,1.9,9
1863,4,14.2,4.7,2
1863,5,16.4,6,0
1863,6,19.3,9.6,0
1863,7,21.8,9.5,0
1863,8,21.2,11.9,0
1863,9,15.8,7.6,0
1863,10,14.1,7,2
1863,11,10.3,4.6,6
1863,12,9.1,3.3,6
1864,1,4.8,-0.2,13
1864,2,5.5,0,16
1864,3,9.6,1.4,8
1864,4,14.2,4.3,0
1864,5,18.2,7.9,0
1864,6,19.8,9.8,0
1864,7,22.8,10.3,0
1864,8,21,8.8,0
1864,9,18.3,9.4,0
1864,10,13.6,6.8,0
1864,11,8.9,2,8
1864,12,5.6,1.3,13
1865,1,4.7,-0.9,14
1865,2,5,0.2,13
1865,3,6,-0.2,13
1865,4,17.2,5.4,3
1865,5,18.4,8.1,0
1865,6,21.9,10.8,0
1865,7,22.3,12.5,0
1865,8,20,10.8,0
1865,9,22.3,10.9,0
1865,10,14.6,6.1,0
1865,11,10.3,4,6
1865,12,8.4,3.4,4
1866,1,8.6,3.4,5
1866,2,7.9,1.3,11
1866,3,8.4,1.8,9
1866,4,13.6,4.7,3
1866,5,15.7,4.8,2
1866,6,21.9,11.1,0
1866,7,21.7,11.2,0
1866,8,19.8,11.3,0
1866,9,17,10.3,0
1866,10,14.2,8,0
1866,11,10.7,3.7,7
1866,12,9.2,3.3,7
1867,1,4.6,-1.1,18
1867,2,10.1,4.4,1
1867,3,6,0.5,16
1867,4,14,6.6,0
1867,5,16.8,6.8,3
1867,6,20,9.6,0
1867,7,20.3,10.5,0
1867,8,21.5,11.8,0
1867,9,18.4,9.6,0
1867,10,13.5,6.3,1
1867,11,8.4,1.6,10
1867,12,6.2,0.1,18
1868,1,5.9,1.7,11
1868,2,9.8,3.3,5
1868,3,11.1,2.9,6
1868,4,14.1,4.6,5
1868,5,20.4,7.8,0
1868,6,23.6,9.4,0
1868,7,25.8,12.7,0
1868,8,22.1,12.5,0
1868,9,19.7,9.4,0
1868,10,12.7,5,3
1868,11,7.9,2.6,7
1868,12,10.4,5.2,2
1869,1,8.2,3,5
1869,2,10.5,5.1,1
1869,3,7.1,1.1,10
1869,4,16,6,0
1869,5,15.5,6.5,0
1869,6,18.9,8.8,0
1869,7,24.1,12.4,0
1869,8,21.5,10.7,0
1869,9,19,11.3,0
1869,10,13.9,6.1,4
1869,11,10,3.2,8
1869,12,5.6,1,9
1870,1,5.9,1.3,10
1870,2,5.1,0.8,13
1870,3,8.3,1.5,13
1870,4,15.6,3.7,4
1870,5,18,6.3,2
1870,6,22.3,11.2,0
1870,7,24.9,13,0
1870,8,21.4,10.6,0
1870,9,18.3,8.2,0
1870,10,14.1,6.7,0
1870,11,8.3,2.1,10
1870,12,3.2,-2.3,19
1871,1,2.7,-1.2,20
1871,2,9,3.8,4
1871,3,11.9,3.2,4
1871,4,13.8,5.3,4
1871,5,17,5.8,0
1871,6,17.5,9,0
1871,7,21.1,11.9,0
1871,8,23.8,12,0
1871,9,17.9,9.6,0
1871,10,14.1,6,2
1871,11,6.4,0.2,14
1871,12,6,0.9,12
1872,1,7.9,2.6,5
1872,2,10.1,4.7,0
1872,3,11.2,3.6,8
1872,4,13.9,4.5,2
1872,5,15.2,5.9,1
1872,6,20.4,10.2,0
1872,7,23.7,12.9,0
1872,8,21,11.3,0
1872,9,18.3,10,0
1872,10,12.6,5.2,1
1872,11,10.1,4.6,1
1872,12,7.9,3.5,6
1873,1,7.8,3.2,9
1873,2,4.2,-0.1,13
1873,3,9.7,2.2,3
1873,4,12.8,3.9,3
1873,5,16.1,5.4,1
1873,6,20,10.3,0
1873,7,22.6,11.8,0
1873,8,21.6,12.6,0
1873,9,16.9,7.8,0
1873,10,12.9,4.7,6
1873,11,9.6,3.8,4
1873,12,7.3,2.1,10
1874,1,8.6,3,6
1874,2,7.1,1,12
1874,3,11,3.1,8
1874,4,15.7,5.4,1
1874,5,15.7,6,1
1874,6,20.4,9,0
1874,7,25.3,11.8,0
1874,8,21.2,11.2,0
1874,9,18.6,10.4,0
1874,10,14.7,7.8,0
1874,11,8.7,2.5,9
1874,12,3.5,-2.3,22
1875,1,9.3,4.9,2
1875,2,4.5,-0.4,20
1875,3,8.6,2.4,9
1875,4,13.4,3.5,3
1875,5,18.3,7.8,0
1875,6,20.6,10.5,0
1875,7,19.9,11.1,0
1875,8,21.9,12.8,0
1875,9,20.1,11.4,0
1875,10,12.6,6.4,0
1875,11,8.4,3.6,5
1875,12,6.2,2.4,9
1876,1,5.5,0.6,14
1876,2,8.1,3,5
1876,3,8.6,1.9,8
1876,4,13,4.8,2
1876,5,15.4,4.7,1
1876,6,20.8,10,0
1876,7,24.5,13.1,0
1876,8,23.8,11.9,0
1876,9,17.4,9.8,0
1876,10,14.8,8.8,0
1876,11,9.7,4.1,5
1876,12,8.8,4.9,4
1877,1,9.3,3.2,3
1877,2,9.4,4,3
1877,3,9,2.2,9
1877,4,12.1,4.3,0
1877,5,14.5,5.5,4
1877,6,22.2,10.5,0
1877,7,21.1,11.1,0
1877,8,20.5,11.9,0
1877,9,15.9,7.6,0
1877,10,13.7,5.2,2
1877,11,10.8,4.3,0
1877,12,7.8,2.3,7
1878,1,7.5,2.6,8
1878,2,8.8,4.2,4
1878,3,9.5,2.2,9
1878,4,14.1,5.5,3
1878,5,17.7,8.4,0
1878,6,21.1,11.1,0
1878,7,22.2,12.6,0
1878,8,21.7,13.1,0
1878,9,18.1,9.4,0
1878,10,14.1,7.4,0
1878,11,6.6,2.6,5
1878,12,3.1,-2,20
1879,1,1.6,-2.8,27
1879,2,6,1.1,9
1879,3,8.6,1.1,10
1879,4,9.5,2.4,7
1879,5,12.9,5.2,3
1879,6,17,10.2,0
1879,7,17.5,11.4,0
1879,8,18.7,11.8,0
1879,9,16.6,9.5,0
1879,10,12.2,6,0
1879,11,6.7,0.9,13
1879,12,3.7,-3.2,24
1880,1,3,-2.5,22
1880,2,9,2.4,5
1880,3,11.7,2.5,7
1880,4,12.2,4.7,1
1880,5,15.9,6.4,0
1880,6,17.9,10,0
1880,7,19.7,12.2,0
1880,8,20.5,13.2,0
1880,9,19.8,11.5,0
1880,10,12.2,4.9,3
1880,11,9.8,3.1,9
1880,12,9.3,3.6,5
1881,1,1.8,-4,20
1881,2,6.3,1.5,10
1881,3,10.3,2.1,11
1881,4,12.9,3.1,7
1881,5,17.7,6.9,1
1881,6,19.2,10.3,0
1881,7,22.7,12.5,0
1881,8,19.2,10.8,0
1881,9,17.6,9.5,0
1881,10,11.9,4.2,5
1881,11,12.5,6.9,0
1881,12,7.1,2.1,7
1882,1,7.7,2.8,6
1882,2,9.2,3.5,3
1882,3,12.6,4,3
1882,4,13.7,5.1,1
1882,5,17.4,7.3,0
1882,6,17.5,9.7,0
1882,7,20,11.9,0
1882,8,19.9,11.5,0
1882,9,17.3,8.3,0
1882,10,13.6,7.2,1
1882,11,9.6,3.5,3
1882,12,7.2,2.5,9
1883,1,8.2,3.3,3
1883,2,9.9,4,0
1883,3,7.2,-1.2,22
1883,4,14,4.5,3
1883,5,16.2,7.1,1
1883,6,19.6,10.1,0
1883,7,18.8,11.2,0
1883,8,21,11.8,0
1883,9,17.5,10.4,0
1883,10,13.8,7.4,0
1883,11,10.3,3.3,4
1883,12,7.3,2.7,5
1884,1,9.5,5.1,0
1884,2,8.9,3.1,4
1884,3,10.9,3,4
1884,4,11.7,3.1,6
1884,5,17.6,6.6,0
1884,6,19.5,9.9,0
1884,7,21.5,12.4,0
1884,8,23.9,12,0
1884,9,19.7,10.9,0
1884,10,13.7,6.1,0
1884,11,8.8,2.6,10
1884,12,7.3,2.9,4
1885,1,5,0.9,14
1885,2,9.8,3.8,4
1885,3,9.4,1.2,10
1885,4,13,3.6,4
1885,5,13.7,5.3,0
1885,6,19.8,9.8,0
1885,7,22.7,11.9,0
1885,8,18.9,9.9,0
1885,9,17.1,8.6,0
1885,10,11.2,4.8,0
1885,11,8.4,4,5
1885,12,6.4,1.3,11
1886,1,4.6,-0.5,15
1886,2,3.3,-1.1,20
1886,3,7.8,1.5,17
1886,4,12.9,3.8,4
1886,5,15.7,7,0
1886,6,18.6,9.5,0
1886,7,21.8,12,0
1886,8,21.2,12,0
1886,9,19,10.3,0
1886,10,15.1,8.7,0
1886,11,9.5,3.8,5
1886,12,5.5,-0.3,13
1887,1,4.7,-0.5,15
1887,2,7.5,0.5,17
1887,3,7.3,-0.1,13
1887,4,11.6,1.9,5
1887,5,14.4,6.1,0
1887,6,21.6,10.2,0
1887,7,24,12.4,0
1887,8,22.2,10.5,0
1887,9,16.3,8.1,0
1887,10,11.5,3.5,6
1887,11,7.8,2.2,8
1887,12,5.7,0.3,17
1888,1,5.6,0.7,17
1888,2,4.1,-0.7,20
1888,3,6.9,0.9,15
1888,4,10.4,3,8
1888,5,16.3,6.3,0
1888,6,18.3,9.6,0
1888,7,18,10.9,0
1888,8,19,10.5,0
1888,9,17.6,8.8,0
1888,10,13,3.7,9
1888,11,10.5,6,0
1888,12,7.6,2.5,11
1889,1,5.1,-0.1,14
1889,2,5.8,-0.4,17
1889,3,9,1.4,12
1889,4,10.9,3.8,1
1889,5,17.3,8.9,0
1889,6,20.6,10.9,0
1889,7,20,11.3,0
1889,8,19.6,10.8,0
1889,9,17.5,9.1,0
1889,10,12.8,5.4,1
1889,11,9.5,4.3,4
1889,12,5.6,0.1,16
1890,1,8.7,3.3,3
1890,2,6.3,0.3,12
1890,3,10.1,2.6,5
1890,4,11.9,3,6
1890,5,17,6.6,0
1890,6,19,9.7,0
1890,7,19.3,11.2,0
1890,8,19.4,10.8,0
1890,9,20.2,9.9,0
1890,10,14,5.7,1
1890,11,9.2,3,7
1890,12,0.2,-4,25
1891,1,4.3,-1.9,20
1891,2,8.9,-0.2,13
1891,3,7.9,0.9,13
1891,4,11.2,2.2,5
1891,5,14.1,5.6,2
1891,6,19.9,10.4,0
1891,7,19.3,10.7,0
1891,8,18,10.9,0
1891,9,18.6,9.8,0
1891,10,13.2,6.6,1
1891,11,8.4,3.2,3
1891,12,7.3,1.6,9
1892,1,4.8,-0.3,18
1892,2,6.4,0.9,9
1892,3,6.9,-0.9,23
1892,4,14.3,1.7,10
1892,5,17.1,6.9,3
1892,6,19.2,8.7,0
1892,7,18.9,10.3,0
1892,8,20.4,11.5,0
1892,9,16.9,8.9,0
1892,10,11.1,4,4
1892,11,9.4,3.8,6
1892,12,4.7,-0.6,17
1893,1,4.4,-0.3,15
1893,2,8,2.5,5
1893,3,13.7,1.7,12
1893,4,18,3.9,2
1893,5,19.4,7.7,0
1893,6,21.8,10.2,0
1893,7,21.6,12.5,0
1893,8,23.2,13,0
1893,9,18.6,8.9,0
1893,10,14.3,6.6,1
1893,11,8.2,1.7,12
1893,12,7.8,1.3,5
1894,1,6.1,1.2,9
1894,2,8.6,2.2,7
1894,3,11.8,2.2,5
1894,4,15,5.1,0
1894,5,14.1,5.3,1
1894,6,18.2,9.9,0
1894,7,20.6,12,0
1894,8,18.6,11,0
1894,9,16,8.3,0
1894,10,12.5,6.9,1
1894,11,10.6,5.4,0
1894,12,7.5,2.8,9
1895,1,3.1,-1.8,20
1895,2,1.8,-5.3,24
1895,3,10,2,9
1895,4,13.1,5,1
1895,5,19,7.3,0
1895,6,21.4,9.8,0
1895,7,20.4,12.2,0
1895,8,20.5,12.1,0
1895,9,22.4,9.9,0
1895,10,11.6,3.9,8
1895,11,11.1,5.4,1
1895,12,6.8,1.9,6
1896,1,7.2,2.4,5
1896,2,8,1.4,9
1896,3,11.4,4.3,3
1896,4,14,5.4,0
1896,5,18.2,6.6,1
1896,6,21.9,12,0
1896,7,22.8,12.1,0
1896,8,19.6,10.6,0
1896,9,17,10.7,0
1896,10,11.5,4.5,3
1896,11,7.8,1.6,8
1896,12,6.7,1.7,11
1897,1,3.9,-0.2,15
1897,2,8.8,4.1,2
1897,3,10.6,4.1,3
1897,4,11.6,4.1,2
1897,5,15.7,5.7,1
1897,6,20.6,11.2,0
1897,7,22.4,12.3,0
1897,8,20.9,12.1,0
1897,9,16.7,8.9,0
1897,10,14.2,6.3,0
1897,11,10.2,4.3,2
1897,12,7.6,1.9,10
1898,1,8.6,4.2,5
1898,2,8.5,2,7
1898,3,8.5,0.6,15
1898,4,13.6,3.7,4
1898,5,14.8,6.8,0
1898,6,18.8,9.5,0
1898,7,21.3,11.1,0
1898,8,22.4,12.5,0
1898,9,22.2,10,0
1898,10,14.6,8.4,0
1898,11,10.4,4.7,3
1898,12,10.1,5.1,4
1899,1,8.5,2.9,5
1899,2,9.5,2.1,10
1899,3,10.6,0.4,16
1899,4,12.2,5.1,2
1899,5,15.4,6.2,0
1899,6,22,10.3,0
1899,7,23.8,13.3,0
1899,8,24.9,12.3,0
1899,9,18.6,10.3,0
1899,10,14.1,4.7,2
1899,11,11.3,5.4,3
1899,12,5,-0.2,14
1900,1,7.2,2.1,5
1900,2,6,0.7,14
1900,3,7.2,0.9,8
1900,4,13.8,3.8,3
1900,5,15.2,6.3,0
1900,6,19.5,10.6,0
1900,7,24.3,13.4,0
1900,8,20.4,11.5,0
1900,9,19.6,9.2,0
1900,10,14.2,6.7,0
1900,11,10.3,5.4,2
1900,12,10.2,5,2
1901,1,6,1,15
1901,2,4.9,0.1,13
1901,3,7.6,1.2,8
1901,4,14,4.3,1
1901,5,17.4,6.2,1
1901,6,19.8,9.4,0
1901,7,23.8,13.2,0
1901,8,21.4,11.5,0
1901,9,18.5,10,0
1901,10,14.1,6.2,3
1901,11,8.1,1.7,11
1901,12,6.4,0.9,12
1902,1,7.8,2.6,10
1902,2,4.7,-0.5,18
1902,3,11,3.8,4
1902,4,12.7,3.5,4
1902,5,13.8,5.4,1
1902,6,18.5,9.8,0
1902,7,20.5,11,0
1902,8,19.6,11.1,0
1902,9,18,8.5,0
1902,10,13,6.8,0
1902,11,9.6,4.5,4
1902,12,7,2.5,7
1903,1,6.9,2.4,8
1903,2,10.5,4.5,1
1903,3,11.1,4.3,0
1903,4,11,2.6,9
1903,5,16.2,7.2,0
1903,6,17.5,8.9,0
1903,7,20.7,11.9,0
1903,8,18.8,10.9,0
1903,9,17.8,9.7,0
1903,10,14,8.5,0
1903,11,9.6,3.9,4
1903,12,5.7,1.6,10
1904,1,6.8,1.4,10
1904,2,6.4,1.5,8
1904,3,8.3,1.6,7
1904,4,13.8,5.4,0
1904,5,15.6,7.4,0
1904,6,18.8,9.2,0
1904,7,23.2,13,0
1904,8,20.6,11,0
1904,9,17.3,7.9,0
1904,10,13.5,6.3,1
1904,11,8.5,2,11
1904,12,6.4,1.6,11
1905,1,6.3,0.4,15
1905,2,8.4,3.2,2
1905,3,11.1,3.9,2
1905,4,11.5,4.5,1
1905,5,16.7,6.1,1
1905,6,19.5,10.9,0
1905,7,23.3,13.4,0
1905,8,19.7,11.4,0
1905,9,16.8,9.4,0
1905,10,11.4,3.8,6
1905,11,8.3,2.2,7
1905,12,7,2.2,7
1906,1,8.4,3.1,3
1906,2,6.6,0.7,10
1906,3,9.3,2.1,9
1906,4,13.8,2.1,9
1906,5,15.5,7.2,0
1906,6,20.2,9.3,0
1906,7,22.2,11.6,0
1906,8,23.4,12.6,0
1906,9,20.4,9.4,0
1906,10,14.9,8.3,0
1906,11,10.5,4.7,3
1906,12,6.2,0.6,13
1907,1,6.3,1.1,10
1907,2,6.3,0.3,13
1907,3,12.1,1.8,8
1907,4,12.6,4.1,1
1907,5,15.9,7.3,0
1907,6,16.8,9.5,0
1907,7,19.2,10.4,0
1907,8,19.3,11,0
1907,9,19.7,9,0
1907,10,13.7,7,0
1907,11,10.2,4.2,2
1907,12,7.8,3,3
1908,1,5.5,-0.4,18
1908,2,8.6,2.7,4
1908,3,8.3,1.5,6
1908,4,10.4,2.4,10
1908,5,17.6,9,0
1908,6,20.5,9.8,0
1908,7,21.5,12.2,0
1908,8,20,10.7,0
1908,9,17,9.4,0
1908,10,16.1,8.1,1
1908,11,11.1,5,3
1908,12,6.5,1.6,5
1909,1,6.2,1.1,12
1909,2,6.5,-0.6,17
1909,3,7.1,1.2,9
1909,4,15.1,3.5,5
1909,5,17.3,5.4,0
1909,6,16.1,8.8,0
1909,7,19.6,11.7,0
